prn time_intervals
02   0.0000- 4.5833 21.9500-24.0000
03  12.6083-18.7833
04   0.0000- 3.2083 20.2417-24.0000
05   0.0000- 6.2167 22.8667-24.0000
06  12.0500-18.1833
07   0.7250- 3.7500 15.4417-20.0167
08   1.6500- 5.0083 16.7667-20.5750
09   4.0917- 9.7417
10   0.0000- 4.1333 21.4917-24.0000
11  15.8583-22.0667
12   0.0000- 1.1583  5.9917-10.9083 23.1667-24.0000
13   0.0000- 1.9833 13.9583-16.8333 22.1083-24.0000
14   7.2500-12.9750
15   1.9000- 9.1833
16  10.9083-17.7667
17   0.0000- 1.2333 18.9750-24.0000
18   5.0833-10.2917
19  13.5750-20.3167
20  18.5833-23.3500
21   3.7333- 7.7833 13.0333-15.5667
22   6.4583-11.3917
23   0.0000- 0.7500 12.5500-16.4000 21.2083-24.0000
24  16.2083-22.0917
25   7.0250-12.7167
26   1.0000- 6.7833
27   3.4333- 9.0833
28  17.9500-23.0000
29   1.5917- 5.1583  9.5000-13.7000
30  10.1333-17.0000
31   8.3583-15.4750
