prn time_intervals
02   0.0000- 4.7583 22.4000-24.0000
03  12.6583-19.5667
04   0.0000- 3.5083 20.6167-24.0000
05   0.0000- 6.6167 23.4583-24.0000
06  12.1333-19.0750
07   0.4000- 4.0583 15.3417-19.7083
08   1.0083- 5.3000 16.5583-20.5500
09   4.0583-10.4333
10   0.0000- 4.6167 21.5833-24.0000
11  15.8500-22.6750
12   0.0000- 0.7167  6.0333-11.3333 22.8333-24.0000
13   0.0000- 2.4000 13.7167-16.7583 21.5333-24.0000
14   7.2417-13.2667
15   2.3583- 9.4833
16  11.1000-18.3083
17   0.0000- 1.2250 19.1000-24.0000
18   4.9250-10.5417
19  13.8000-20.9833
20  18.2750-24.0000
21   3.5333- 8.1167 12.3583-16.1917
22   6.3000-11.2917 16.2333-18.9250
23   0.0000- 1.0750 12.3917-16.1167 20.6833-24.0000
24  16.2500-22.8583
25   7.1583-13.4250
26   1.0083- 7.6167
27   3.3833- 9.9000
28   4.2917- 6.5333 17.8167-23.1833
29   1.4250- 4.5167  9.2667-14.1000
30  10.3083-17.3833
31   8.9000-15.7750
