prn time_intervals
02   0.0000- 4.8500 22.7083-24.0000
03  12.9833-19.5667
04   0.0000- 3.5667 21.1417-24.0000
05   0.1000- 6.2667
06  12.0917-18.9333
07   0.4417- 4.0917 15.5250-19.5250
08   1.7333- 5.3333 16.7417-19.6250
09   4.0167-10.5500
10   0.0000- 4.7333 21.6583-24.0000
11  15.8750-17.7917 17.8000-20.7417 20.7500-22.6667
12   5.8250-11.4250
13   0.0000- 2.4417 13.9250-15.7833 21.4167-24.0000
14   7.5167-13.3833
15   2.8000- 9.4750
16  11.6333-17.5667
17   0.0000- 1.3833 19.3833-24.0000
18   5.1500-10.4750 16.4000-17.0750
19  13.8750-20.9667
20  18.1750-23.9750
21   3.7500- 7.5583 12.5167-16.2083
22   6.5000-11.2667 17.0000-18.9583
23   0.0000- 1.1417 12.5750-15.3583 21.4750-24.0000
24  16.6833-22.8917
25   7.0833-13.2917
26   0.9417- 7.6583
27   3.3417- 9.8750
28   4.2000- 6.5917 18.0083-22.0583 22.0667-22.9417
29   1.6583- 3.6000  9.9250-14.0500
30  10.8083-17.0417
31   9.4167-15.8083
