hmax        =    300
wind_bottom =      2
wind_top    =     10
critlon     =      0
tbeg, h     =   0.00
tend, h     =  24.00
c_ionex     =      0
c_vert      =      1
time, gamma, az, latp, lonp, tec, tec_filtered
  0.0083   58.87300 -110.70700   46.4647  140.6205    1.16500    0.00000
  0.0167   59.09300 -110.48000   46.4753  140.6349    1.19600   -0.00039
  0.0250   59.31400 -110.25100   46.4858  140.6494    1.19300    0.00087
  0.0333   59.53400 -110.02100   46.4963  140.6637    1.22800   -0.00312
  0.0417   59.75400 -109.78900   46.5067  140.6781    1.24600    0.00549
  0.0500   59.97400 -109.55500   46.5170  140.6924    1.26300    0.02156
  0.0583   60.19400 -109.32000   46.5272  140.7068    1.30300    0.03308
  0.0667   60.41400 -109.08200   46.5374  140.7211    1.29600    0.03904
  0.0750   60.63400 -108.84300   46.5476  140.7355    1.27700    0.03456
  0.0833   60.85400 -108.60300   46.5576  140.7499    1.27100    0.03999
  0.0917   61.07300 -108.36000   46.5675  140.7642    1.27500    0.04946
  0.1000   61.29300 -108.11600   46.5774  140.7785    1.28900    0.05494
  0.1083   61.51200 -107.87000   46.5873  140.7928    1.25900    0.05893
  0.1167   61.73100 -107.62200   46.5970  140.8071    1.24700    0.05325
  0.1250   61.95100 -107.37200   46.6067  140.8215    1.21700    0.06076
  0.1333   62.17000 -107.12000   46.6163  140.8358    1.22100    0.06699
  0.1417   62.38800 -106.86600   46.6258  140.8501    1.19500    0.07238
  0.1500   62.60700 -106.61000   46.6353  140.8644    1.15600    0.05770
  0.1583   62.82600 -106.35200   46.6447  140.8787    1.08800    0.03266
  0.1667   63.04400 -106.09200   46.6541  140.8930    1.02600    0.01366
  0.1750   63.26200 -105.82300   46.6635  140.9072    1.00500   -0.00070
  0.1833   63.47900 -105.55200   46.6728  140.9214    0.95000   -0.01747
  0.1917   63.69700 -105.27800   46.6821  140.9356    0.88100   -0.04055
  0.2000   63.91400 -105.00200   46.6913  140.9498    0.83800   -0.05143
  0.2083   64.13100 -104.72400   46.7004  140.9640    0.82300   -0.05569
  0.2167   64.34800 -104.44300   46.7095  140.9782    0.77300   -0.04688
  0.2250   64.56500 -104.15900   46.7185  140.9924    0.77200   -0.04240
  0.2333   64.78100 -103.87300   46.7274  141.0065    0.74400   -0.03420
  0.2417   64.99700 -103.58300   46.7363  141.0207    0.70900   -0.02839
  0.2500   65.21400 -103.29200   46.7451  141.0350    0.70600   -0.01534
  0.2583   65.42900 -102.99700   46.7539  141.0491    0.70600    0.00921
  0.2667   65.64500 -102.69900   46.7626  141.0633    0.71300    0.01514
  0.2750   65.86100 -102.39800   46.7712  141.0776    0.65300    0.01043
  0.2833   66.07600 -102.09500   46.7798  141.0918    0.62300    0.00141
  0.2917   66.29100 -101.78800   46.7883  141.1060    0.61900   -0.00152
  0.3000   66.50600 -101.47800   46.7967  141.1202    0.58000    0.00743
  0.3083   66.72000 -101.16500   46.8050  141.1344    0.58700    0.00330
  0.3167   66.93400 -100.84800   46.8134  141.1486    0.54000    0.00672
  0.3250   67.14800 -100.52900   46.8216  141.1628    0.52400    0.00648
  0.3333   67.36200 -100.20500   46.8298  141.1771    0.51800    0.01278
  0.3417   67.57500  -99.87000   46.8380  141.1912    0.48900    0.01436
  0.3500   67.78700  -99.53100   46.8462  141.2053    0.45500    0.01324
  0.3583   67.99900  -99.18900   46.8543  141.2195    0.44100    0.01358
  0.3667   68.21100  -98.84200   46.8624  141.2337    0.41900    0.00861
  0.3750   68.42200  -98.49100   46.8704  141.2478    0.36800    0.00164
  0.3833   68.63300  -98.13500   46.8784  141.2619    0.34500   -0.00161
  0.3917   68.84400  -97.77500   46.8863  141.2761    0.33000   -0.00560
  0.4000   69.05500  -97.41100   46.8941  141.2904    0.27600   -0.00792
  0.4083   69.26500  -97.04200   46.9019  141.3045    0.25700   -0.01283
  0.4167   69.47400  -96.66800   46.9096  141.3187    0.23400   -0.00332
  0.4250   69.68300  -96.29000   46.9172  141.3329    0.22700    0.00778
  0.4333   69.89200  -95.90600   46.9248  141.3471    0.21800    0.01660
  0.4417   70.10100  -95.51800   46.9323  141.3614    0.19400    0.00637
  0.4500   70.30900  -95.12400   46.9398  141.3756    0.13400   -0.01546
  0.4583   70.51600  -94.72400   46.9472  141.3898    0.09500   -0.04201
  0.4667   70.72400  -94.31900   46.9546  141.4041    0.06400   -0.05814
  0.4750   70.93000  -93.90900   46.9619  141.4183    0.04200   -0.07281
  0.4833   71.13600  -93.49200   46.9691  141.4325    0.01300   -0.08372
  0.4917   71.34200  -93.07000   46.9763  141.4468    0.00000   -0.08616
  0.5000   71.54700  -92.64100   46.9834  141.4611    0.01100   -0.07188
  0.5083   71.75100  -92.19600   46.9906  141.4753    0.03900   -0.05340
  0.5167   71.95400  -91.74400   46.9977  141.4895    0.04300   -0.02706
  0.5250   72.15600  -91.28500   47.0048  141.5037    0.08400   -0.01406
  0.5333   72.35800  -90.81800   47.0118  141.5180    0.07900   -0.00074
  0.5417   72.55900  -90.34400   47.0188  141.5322    0.09400   -0.00619
  0.5500   72.76000  -89.86300   47.0257  141.5465    0.08800   -0.01326
  0.5583   72.96000  -89.37300   47.0326  141.5608    0.08700   -0.01706
  0.5667   73.15900  -88.87500   47.0394  141.5750    0.12100   -0.02424
  0.5750   73.35700  -88.36900   47.0461  141.5893    0.11100   -0.03044
  0.5833   73.55500  -87.85300   47.0528  141.6036    0.12000   -0.03664
  0.5917   73.75200  -87.32900   47.0594  141.6180    0.15700   -0.03476
  0.6000   73.94800  -86.79600   47.0660  141.6323    0.17400   -0.02799
  0.6083   74.14400  -86.25300   47.0725  141.6467    0.19800   -0.02488
  0.6167   74.33800  -85.70100   47.0790  141.6610    0.22600   -0.01436
  0.6250   74.53200  -85.13800   47.0854  141.6754    0.26900   -0.01011
  0.6333   74.72500  -84.56400   47.0917  141.6898    0.27800   -0.00599
  0.6417   74.91700  -83.98000   47.0980  141.7042    0.31000   -0.01094
  0.6500   75.10700  -83.38500   47.1043  141.7185    0.32900   -0.00469
  0.6583   75.29700  -82.77800   47.1104  141.7329    0.37800   -0.00543
  0.6667   75.48600  -82.16000   47.1165  141.7474    0.39200   -0.00840
  0.6750   75.67200  -81.51600   47.1228  141.7617    0.40700   -0.01469
  0.6833   75.85700  -80.86000   47.1289  141.7761    0.44700   -0.01605
  0.6917   76.04100  -80.19000   47.1350  141.7905    0.47800   -0.01069
  0.7000   76.22300  -79.50700   47.1411  141.8049    0.51500   -0.01092
  0.7083   76.40500  -78.80900   47.1471  141.8194    0.53700   -0.01050
  0.7167   76.58400  -78.09600   47.1530  141.8338    0.57000   -0.00539
  0.7250   76.76300  -77.36800   47.1589  141.8483    0.62000    0.00609
  0.7333   76.94000  -76.62500   47.1647  141.8627    0.66100    0.01158
  0.7417   77.11500  -75.86500   47.1705  141.8772    0.67200    0.01411
  0.7500   77.28900  -75.08900   47.1762  141.8917    0.71100    0.01585
  0.7583   77.46200  -74.29500   47.1819  141.9063    0.74800    0.02571
  0.7667   77.63200  -73.48400   47.1875  141.9208    0.78300    0.02973
  0.7750   77.80100  -72.65400   47.1930  141.9353    0.80400    0.03028
  0.7833   77.96800  -71.80600   47.1985  141.9499    0.82900    0.03091
  0.7917   78.13300  -70.93800   47.2040  141.9645    0.86300    0.02508
  0.8000   78.29600  -70.05100   47.2094  141.9791    0.86100    0.01769
  0.8083   78.45800  -69.14300   47.2147  141.9938    0.87800    0.00596
  0.8167   78.61600  -68.21400   47.2200  142.0083    0.89600   -0.00160
  0.8250   78.77300  -67.26400   47.2252  142.0230    0.90700   -0.00867
  0.8333   78.92800  -66.29100   47.2303  142.0377    0.92600   -0.01444
  0.8417   79.07700  -65.28200   47.2356  142.0523    0.94800   -0.00871
  0.8500   79.22400  -64.24900   47.2408  142.0669    0.99200   -0.00387
  0.8583   79.36800  -63.19200   47.2460  142.0816    1.00800   -0.00477
  0.8667   79.51000  -62.11100   47.2511  142.0963    1.01400   -0.01783
  0.8750   79.64800  -61.00400   47.2562  142.1109    1.02300   -0.02821
  0.8833   79.78400  -59.87300   47.2612  142.1256    1.05100   -0.03015
  0.8917   79.91700  -58.71600   47.2661  142.1404    1.08600   -0.02250
  0.9000   80.04600  -57.53200   47.2710  142.1551    1.12900   -0.01789
  0.9083   80.17200  -56.32300   47.2758  142.1699    1.15100   -0.01885
  0.9167   80.29400  -55.08600   47.2806  142.1846    1.17300   -0.02594
  0.9250   80.41300  -53.82300   47.2853  142.1995    1.20100   -0.02880
  0.9333   80.52800  -52.53200   47.2900  142.2143    1.23800   -0.02471
  0.9417   80.63900  -51.21500   47.2947  142.2291    1.28300   -0.01835
  0.9500   80.74600  -49.87100   47.2992  142.2440    1.32000   -0.00929
  0.9583   80.84900  -48.50000   47.3037  142.2588    1.36700   -0.00583
  0.9667   80.94800  -47.10200   47.3082  142.2738    1.39500    0.00212
  0.9750   81.04200  -45.67800   47.3126  142.2887    1.44400    0.00519
  0.9833   81.13200  -44.22800   47.3170  142.3036    1.47500    0.01303
  0.9917   81.21700  -42.75300   47.3213  142.3186    1.51800    0.01999
  1.0000   81.29800  -41.25400   47.3255  142.3336    1.56500    0.02826
  1.0083   81.37000  -39.72100   47.3298  142.3485    1.60100    0.03367
  1.0167   81.43700  -38.16600   47.3341  142.3634    1.63500    0.03649
  1.0250   81.49800  -36.59000   47.3384  142.3784    1.67200    0.02647
  1.0333   81.55500  -34.99600   47.3426  142.3934    1.66600    0.01056
  1.0417   81.60600  -33.38300   47.3467  142.4084    1.67800   -0.00412
  1.0500   81.65100  -31.75400   47.3508  142.4234    1.71400   -0.00351
  1.0583   81.69100  -30.11000   47.3548  142.4385    1.74900    0.00705
  1.0667   81.72500  -28.45400   47.3588  142.4536    1.78800    0.01524
  1.0750   81.75300  -26.78700   47.3627  142.4686    1.81400    0.02193
  1.0833   81.77600  -25.11200   47.3666  142.4838    1.84100    0.02654
  1.0917   81.79300  -23.43000   47.3704  142.4989    1.86900    0.02859
  1.1000   81.80400  -21.74300   47.3741  142.5141    1.88300    0.02889
  1.1083   81.80900  -20.05400   47.3779  142.5293    1.90100    0.02656
  1.1167   81.80800  -18.36500   47.3815  142.5445    1.91900    0.01569
  1.1250   81.80100  -16.67900   47.3851  142.5597    1.90500    0.00593
  1.1333   81.78900  -14.99600   47.3887  142.5750    1.92400    0.00584
  1.1417   81.77100  -13.32000   47.3921  142.5903    1.96700    0.01430
  1.1500   81.74700  -11.65300   47.3956  142.6055    1.97500    0.01821
  1.1583   81.71700   -9.99600   47.3990  142.6209    1.97900    0.01623
  1.1667   81.68200   -8.35200   47.4023  142.6362    2.00400    0.01414
  1.1750   81.63700   -6.72600   47.4058  142.6515    2.01100    0.01383
  1.1833   81.58700   -5.11700   47.4091  142.6668    2.01600    0.01223
  1.1917   81.53200   -3.52600   47.4125  142.6822    2.03000    0.00455
  1.2000   81.47100   -1.95600   47.4158  142.6975    2.01300   -0.00445
  1.2083   81.40600   -0.40700   47.4190  142.7129    2.01400   -0.01309
  1.2167   81.33500    1.12000   47.4222  142.7283    2.03100   -0.00971
  1.2250   81.26000    2.62300   47.4253  142.7438    2.04900    0.00856
  1.2333   81.18000    4.10200   47.4283  142.7593    2.09100    0.03197
  1.2417   81.09500    5.55500   47.4314  142.7747    2.12000    0.04955
  1.2500   81.00600    6.98300   47.4343  142.7903    2.11700    0.04113
  1.2583   80.91300    8.38500   47.4372  142.8058    2.07700    0.01342
  1.2667   80.81500    9.76000   47.4401  142.8214    2.04500   -0.00777
  1.2750   80.71400   11.10900   47.4429  142.8370    2.06100   -0.00336
  1.2833   80.60800   12.43100   47.4456  142.8526    2.09900    0.01348
  1.2917   80.49900   13.72600   47.4483  142.8682    2.10500    0.01696
  1.3000   80.38700   14.99400   47.4509  142.8839    2.08100    0.01228
  1.3083   80.27100   16.23500   47.4535  142.8995    2.09100    0.00788
  1.3167   80.15100   17.45000   47.4561  142.9153    2.09100    0.00130
  1.3250   80.02900   18.63900   47.4585  142.9310    2.05400   -0.00308
  1.3333   79.90300   19.80200   47.4609  142.9467    2.06800   -0.00427
  1.3417   79.77200   20.92700   47.4634  142.9625    2.08100   -0.00024
  1.3500   79.63700   22.02800   47.4659  142.9782    2.06600    0.00135
  1.3583   79.50000   23.10300   47.4684  142.9940    2.07600    0.00150
  1.3667   79.36000   24.15400   47.4707  143.0098    2.08300    0.00596
  1.3750   79.21800   25.18200   47.4731  143.0256    2.07800   -0.00185
  1.3833   79.07400   26.18600   47.4753  143.0415    2.05100   -0.01981
  1.3917   78.92700   27.16800   47.4775  143.0574    2.03000   -0.03203
  1.4000   78.77800   28.12700   47.4797  143.0733    2.04600   -0.02934
  1.4083   78.62700   29.06500   47.4818  143.0892    2.06800   -0.01640
  1.4167   78.47400   29.98300   47.4838  143.1052    2.07900   -0.00508
  1.4250   78.32000   30.87900   47.4858  143.1212    2.08700   -0.00282
  1.4333   78.16300   31.75700   47.4877  143.1372    2.07700   -0.00566
  1.4417   78.00500   32.61400   47.4896  143.1532    2.07000   -0.00478
  1.4500   77.84500   33.45400   47.4914  143.1693    2.08800    0.00543
  1.4583   77.68400   34.27500   47.4932  143.1854    2.10400    0.02303
  1.4667   77.52100   35.07800   47.4949  143.2015    2.11900    0.04101
  1.4750   77.35700   35.86500   47.4966  143.2177    2.14100    0.05389
  1.4833   77.19100   36.63500   47.4982  143.2338    2.14400    0.05032
  1.4917   77.02400   37.38900   47.4997  143.2500    2.10900    0.02805
  1.5000   76.85600   38.12800   47.5012  143.2662    2.07200    0.00599
  1.5083   76.68500   38.83900   47.5028  143.2824    2.07400   -0.00541
  1.5167   76.51200   39.53600   47.5043  143.2986    2.07100   -0.01182
  1.5250   76.33700   40.21900   47.5059  143.3150    2.04800   -0.02195
  1.5333   76.16200   40.88800   47.5073  143.3312    2.03700   -0.03194
