prn time_intervals
02   0.0083- 4.4417 11.4833-12.0083 22.1667-24.0000
03  13.0250-19.5333
04   0.0083- 3.2917 20.6667-24.0000
05   0.0083- 6.4500 23.6417-24.0000
06  12.4750-19.0250
07   0.3750- 4.5750 14.8000-19.3250
08   1.3417- 5.7750 16.0167-20.0167
09   4.4167-10.6667
10   0.0083- 4.6250 22.0167-24.0000
11  16.2333-22.7250
12   0.0083- 0.6250  6.2667-11.8250 21.8583-24.0000
13   0.0083- 2.8750 13.2500-16.4750 21.9667-24.0000
14   7.2583-13.0250 20.0417-21.0583
15   2.5500- 9.4250
16  11.2750-18.1250
17   0.0083- 0.9667  7.4333- 8.8917 18.7917-24.0000
18   4.4833-10.0583 16.0083-18.3250
19  14.0833-20.8500
20   0.0083- 0.4417 10.7333-12.4333 18.8917-24.0000
21   3.1500- 7.4667 12.4583-16.6917
22   5.8000-10.8750 16.0833-19.5250
23   0.0083- 1.5667 11.8167-15.8083 20.7917-24.0000
24  16.5000-23.0333
25   0.0083- 0.6833  7.4250-13.6167 23.5667-24.0000
26   1.4500- 7.7083
27   3.7417-10.1417
28   4.0167- 7.2667 17.4083-22.5917
29   0.8917- 4.3000  9.4583-14.5167
30  10.4750-17.2500
31   8.8250-15.5083
32   9.5667-12.6667 18.0167-23.2917
